Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode
Caguas,Puerto Rico,Mary,8917,Smith,Consumer,PR,4992 Jagged Forest Subdivision,725
Caguas,Puerto Rico,Mary,7784,Smith,Consumer,PR,3216 Red Glade,725
Caguas,Puerto Rico,Mary,2737,Smith,Consumer,PR,5424 Rustic Anchor Boulevard,725
Caguas,Puerto Rico,Mary,6428,Smith,Consumer,PR,3567 Heather Knoll,725
Caguas,Puerto Rico,Mary,5118,Smith,Consumer,PR,1388 Blue Turnabout,725
Caguas,Puerto Rico,Mary,7247,Smith,Consumer,PR,6401 Shady Embers Farms,725
Caguas,Puerto Rico,Mary,6887,Smith,Consumer,PR,8840 Harvest Towers,725
Caguas,Puerto Rico,Mary,10668,Smith,Consumer,PR,5087 Crystal Hills Manor,725
Caguas,Puerto Rico,Mary,8456,Smith,Consumer,PR,9198 Rocky Run,725
Caguas,Puerto Rico,Mary,6365,Smith,Consumer,PR,100 Jagged Cloud Pathway,725
Caguas,Puerto Rico,Mary,10519,Smith,Consumer,PR,4110 Quaking Abbey,725
Caguas,Puerto Rico,Mary,9619,Smith,Consumer,PR,190 Heather View,725
Caguas,Puerto Rico,Mary,6588,Smith,Consumer,PR,1116 Silent Crest,725
Caguas,Puerto Rico,Mary,1459,Smith,Consumer,PR,4485 Noble Fawn Highway,725
Caguas,Puerto Rico,Mary,3050,Smith,Consumer,PR,7885 Misty Knoll,725
Caguas,Puerto Rico,Mary,10308,Smith,Consumer,PR,1612 Golden Willow Crest,725
Caguas,Puerto Rico,Mary,2270,Smith,Consumer,PR,9297 Burning Extension,725
Caguas,Puerto Rico,Mary,3490,Smith,Consumer,PR,1132 Harvest Front,725
Caguas,Puerto Rico,Mary,3940,Smith,Consumer,PR,7258 Burning Dale Mountain,725
Caguas,Puerto Rico,Mary,8098,Smith,Consumer,PR,7761 Silent Hickory Drive,725
Caguas,Puerto Rico,Mary,4151,Smith,Consumer,PR,4251 Sleepy View Alley,725
Caguas,Puerto Rico,Mary,6523,Smith,Consumer,PR,8094 Broad Dale,725
Caguas,Puerto Rico,Mary,4867,Smith,Consumer,PR,6292 Velvet Wagon  Plaza,725
Caguas,Puerto Rico,Mary,4998,Smith,Consumer,PR,1235 Honey Mews,725
Caguas,Puerto Rico,Mary,2813,Smith,Consumer,PR,2585 Silent Autumn Landing,725
Caguas,Puerto Rico,Mary,11426,Smith,Consumer,PR,8663 Crystal Bluff Walk,725
Caguas,Puerto Rico,Mary,11664,Smith,Consumer,PR,3180 Golden Cider Circle,725
Caguas,Puerto Rico,Mary,5243,Smith,Consumer,PR,2387 Silver Freeway,725
Caguas,Puerto Rico,Mary,2214,Smith,Consumer,PR,6567 Red Sky Gate,725
Caguas,Puerto Rico,Mary,1399,Smith,Consumer,PR,4543 Red Private,725
Caguas,Puerto Rico,Mary,1516,Smith,Consumer,PR,1071 Cotton Lane,725
Caguas,Puerto Rico,Mary,1785,Smith,Consumer,PR,2391 Cinder Passage,725
Caguas,Puerto Rico,Mary,1851,Smith,Consumer,PR,7274 Middle Wynd,725
Caguas,Puerto Rico,Mary,7357,Smith,Consumer,PR,2407 Bright Blossom Mall,725
Caguas,Puerto Rico,Mary,3012,Smith,Consumer,PR,7713 Colonial Estates,725
Caguas,Puerto Rico,Mary,5120,Smith,Consumer,PR,6350 Lost Hollow,725
Caguas,Puerto Rico,Mary,8760,Smith,Consumer,PR,2805 Silver Glade,725
Caguas,Puerto Rico,Mary,509,Smith,Consumer,PR,4189 Bright Rise By-pass,725
Caguas,Puerto Rico,Mary,882,Smith,Consumer,PR,2136 Silver Canyon,725
Caguas,Puerto Rico,Mary,10099,Smith,Consumer,PR,9602 Cotton River Manor,725
Caguas,Puerto Rico,Mary,9072,Smith,Consumer,PR,4948 Stony Close,725
Caguas,Puerto Rico,Mary,5038,Smith,Consumer,PR,6847 Broad Orchard,725
Caguas,Puerto Rico,Mary,7101,Smith,Consumer,PR,9503 Hazy Pine Edge,725
Caguas,Puerto Rico,Mary,2402,Smith,Consumer,PR,6759 Clear Maze,725
Caguas,Puerto Rico,Mary,10517,Smith,Consumer,PR,3261 Heather Estates,725
Caguas,Puerto Rico,Mary,7270,Smith,Consumer,PR,100 Clear Forest Highway,725
Caguas,Puerto Rico,Mary,5023,Smith,Consumer,PR,4197 Emerald Hollow,725
Caguas,Puerto Rico,Mary,8481,Smith,Consumer,PR,9393 Honey Autoroute,725
Caguas,Puerto Rico,Mary,8004,Smith,Consumer,PR,7780 Cozy Pond Court,725
Caguas,Puerto Rico,Mary,1507,Smith,Consumer,PR,436 Noble Shadow Estates,725
Caguas,Puerto Rico,Mary,10500,Smith,Consumer,PR,1800 Tawny Zephyr Terrace,725
Caguas,Puerto Rico,Mary,7330,Smith,Consumer,PR,4712 Quiet Sky Close,725
Caguas,Puerto Rico,Mary,2518,Smith,Consumer,PR,826 Tawny Embers Expressway,725
Caguas,Puerto Rico,Mary,6247,Smith,Consumer,PR,1070 Wishing Panda Ramp,725
Caguas,Puerto Rico,Mary,577,Smith,Consumer,PR,6517 Hazy Wagon  Walk,725
Caguas,Puerto Rico,Mary,2588,Smith,Consumer,PR,1497 Little Walk,725
Caguas,Puerto Rico,Mary,1495,Smith,Consumer,PR,190 Heather View,725
Caguas,Puerto Rico,Mary,11187,Smith,Consumer,PR,5387 Clear Inlet,725
Caguas,Puerto Rico,Mary,9264,Smith,Consumer,PR,4204 Iron Hollow,725
Caguas,Puerto Rico,Mary,635,Smith,Consumer,PR,8621 Broad Forest,725
Caguas,Puerto Rico,Mary,4474,Smith,Consumer,PR,8659 Foggy Deer Port,725
Caguas,Puerto Rico,Mary,800,Smith,Consumer,PR,3450 Quiet Hickory Harbour,725
Caguas,Puerto Rico,Mary,942,Smith,Consumer,PR,6828 Tawny Ridge,725
Caguas,Puerto Rico,Mary,8386,Smith,Consumer,PR,3403 Misty Landing,725
Caguas,Puerto Rico,Mary,6421,Smith,Consumer,PR,2515 Rocky Turnabout,725
Caguas,Puerto Rico,Mary,3561,Smith,Consumer,PR,9254 Thunder Meadow,725
Caguas,Puerto Rico,Mary,4836,Smith,Consumer,PR,8569 Umber Fox Common,725
Caguas,Puerto Rico,Mary,11622,Smith,Consumer,PR,1621 Old Limits,725
Caguas,Puerto Rico,Mary,3520,Smith,Consumer,PR,9135 Green Island Moor,725
Caguas,Puerto Rico,Mary,1629,Smith,Consumer,PR,8063 Golden Street,725
Caguas,Puerto Rico,Mary,9004,Smith,Consumer,PR,9761 Little Goose Field,725
Caguas,Puerto Rico,Mary,3134,Smith,Consumer,PR,2571 Noble Crescent,725
Caguas,Puerto Rico,Mary,3055,Smith,Consumer,PR,2557 Gentle Hills Wynd,725
Caguas,Puerto Rico,Mary,8617,Smith,Consumer,PR,3544 Velvet Crescent,725
Caguas,Puerto Rico,Mary,7223,Smith,Consumer,PR,4436 Indian Acres,725
Caguas,Puerto Rico,Mary,7415,Smith,Consumer,PR,7869 Round Cider Square,725
Caguas,Puerto Rico,Mary,6159,Smith,Consumer,PR,3686 Quaking Carrefour,725
Caguas,Puerto Rico,Mary,9283,Smith,Consumer,PR,650 Thunder Rise Arbor,725
Caguas,Puerto Rico,Mary,8625,Smith,Consumer,PR,902 Little Falls,725
Caguas,Puerto Rico,Mary,3558,Smith,Consumer,PR,5074 Cotton Butterfly Place,725
Caguas,Puerto Rico,Mary,2265,Smith,Consumer,PR,8581 Broad Trace,725
Caguas,Puerto Rico,Mary,2521,Smith,Consumer,PR,1313 Old Hickory Round,725
Caguas,Puerto Rico,Mary,10556,Smith,Consumer,PR,8213 Rustic Spring Glade,725
Caguas,Puerto Rico,Mary,11367,Smith,Consumer,PR,8667 Iron Arbor,725
Caguas,Puerto Rico,Mary,10721,Smith,Consumer,PR,7231 Grand Turnabout,725
Caguas,Puerto Rico,Mary,7473,Smith,Consumer,PR,14 Broad Pine Pointe,725
Caguas,Puerto Rico,Mary,10036,Smith,Consumer,PR,3345 Heather Inlet,725
Caguas,Puerto Rico,Mary,1560,Smith,Consumer,PR,2407 Dusty Mount,725
Caguas,Puerto Rico,Mary,12163,Smith,Consumer,PR,6501 Emerald Crest,725
Caguas,Puerto Rico,Mary,3889,Smith,Consumer,PR,7136 Sunny Grove Freeway,725
Caguas,Puerto Rico,Mary,4372,Smith,Consumer,PR,2070 Rocky Apple Front,725
Caguas,Puerto Rico,Mary,11313,Smith,Consumer,PR,8548 Sunny Ramp,725
Caguas,Puerto Rico,Mary,12090,Smith,Consumer,PR,1735 Green Moor,725
Caguas,Puerto Rico,Mary,1774,Smith,Consumer,PR,9395 Wishing Thicket,725
Caguas,Puerto Rico,Mary,10413,Smith,Consumer,PR,9526 Bright Heath,725
Caguas,Puerto Rico,Mary,8193,Smith,Consumer,PR,5129 Indian Maze,725
Caguas,Puerto Rico,Mary,1113,Smith,Consumer,PR,9986 Wishing Stead,725
Caguas,Puerto Rico,Mary,5994,Smith,Consumer,PR,8589 Red Deer Circuit,725
Caguas,Puerto Rico,Mary,11504,Smith,Consumer,PR,7107 Golden Mews,725
Caguas,Puerto Rico,Mary,1613,Smith,Consumer,PR,3307 Broad Beacon Wood,725
Caguas,Puerto Rico,Mary,1282,Smith,Consumer,PR,4786 Crystal Apple Island,725
Caguas,Puerto Rico,Mary,4589,Smith,Consumer,PR,9126 Wishing Expressway,725
Caguas,Puerto Rico,Mary,5761,Smith,Consumer,PR,7651 Honey Passage,725
Caguas,Puerto Rico,Mary,2005,Smith,Consumer,PR,4839 Lazy View,725
Caguas,Puerto Rico,Mary,6539,Smith,Consumer,PR,8267 Silent Lagoon Front,725
Caguas,Puerto Rico,Mary,10866,Smith,Consumer,PR,5717 Shady Vista,725
Caguas,Puerto Rico,Mary,4016,Smith,Consumer,PR,3159 Dewy Leaf Plaza,725
Caguas,Puerto Rico,Mary,1373,Smith,Consumer,PR,7906 Colonial Jetty,725
Caguas,Puerto Rico,Mary,6699,Smith,Consumer,PR,1812 Little Pine Parade,725
Caguas,Puerto Rico,Mary,2771,Smith,Consumer,PR,9095 Middle Pony Pike,725
Caguas,Puerto Rico,Mary,2572,Smith,Consumer,PR,5959 Harvest Forest Boulevard,725
Caguas,Puerto Rico,Mary,1757,Smith,Consumer,PR,67 Cotton Mountain Terrace,725
Caguas,Puerto Rico,Mary,1216,Smith,Consumer,PR,1141 Quiet Pathway,725
Caguas,Puerto Rico,Mary,4511,Smith,Consumer,PR,9666 Gentle Shadow Thicket,725
Caguas,Puerto Rico,Mary,12112,Smith,Consumer,PR,9092 Middle Deer Dale,725
Caguas,Puerto Rico,Mary,5841,Smith,Consumer,PR,3076 Indian Mews,725
Caguas,Puerto Rico,Mary,3284,Smith,Consumer,PR,7601 Pleasant Brook Gate,725
Caguas,Puerto Rico,Mary,11269,Smith,Consumer,PR,5761 Hidden Spring Cove,725
Caguas,Puerto Rico,Mary,12088,Smith,Consumer,PR,3761 Foggy Autumn Crossing,725
Caguas,Puerto Rico,Mary,7572,Smith,Consumer,PR,6015 Dewy Beach,725
Caguas,Puerto Rico,Mary,11866,Smith,Consumer,PR,7446 Silent Vista,725
Caguas,Puerto Rico,Mary,8584,Smith,Consumer,PR,9069 Honey Forest Glade,725
Caguas,Puerto Rico,Mary,2929,Smith,Consumer,PR,4715 Harvest Spring Vista,725
Caguas,Puerto Rico,Mary,8711,Smith,Consumer,PR,5408 Stony Valley,725
Caguas,Puerto Rico,Mary,10401,Smith,Consumer,PR,5284 Quiet Field,725
Caguas,Puerto Rico,Mary,2793,Smith,Consumer,PR,4174 Pleasant Mountain Acres,725
Caguas,Puerto Rico,Mary,12425,Smith,Consumer,PR,1050 Grand Forest Towers,725
Caguas,Puerto Rico,Mary,6584,Smith,Consumer,PR,153 Velvet Diversion,725
Caguas,Puerto Rico,Mary,152,Smith,Consumer,PR,8333 Red Passage,725
Caguas,Puerto Rico,Mary,8378,Smith,Consumer,PR,7463 Clear Branch Thicket,725
Caguas,Puerto Rico,Mary,7343,Smith,Consumer,PR,4492 Lazy Green,725
Caguas,Puerto Rico,Mary,4509,Smith,Consumer,PR,2954 Red Pioneer Port,725
Caguas,Puerto Rico,Mary,8861,Smith,Consumer,PR,4877 Noble View,725
Caguas,Puerto Rico,Mary,5286,Smith,Consumer,PR,1736 Clear Gate,725
Caguas,Puerto Rico,Mary,1193,Smith,Consumer,PR,9359 Burning Hill,725
Caguas,Puerto Rico,Mary,1538,Smith,Consumer,PR,6292 Grand Rabbit Farms,725
Caguas,Puerto Rico,Mary,2940,Smith,Consumer,PR,8668 Emerald Elk Mount,725
Caguas,Puerto Rico,Mary,1847,Smith,Consumer,PR,1585 Jagged Fawn Heights,725
Caguas,Puerto Rico,Mary,4211,Smith,Consumer,PR,7136 Cozy Bear Mountain,725
Caguas,Puerto Rico,Mary,3960,Smith,Consumer,PR,8261 Hazy Falls,725
Caguas,Puerto Rico,Mary,10449,Smith,Consumer,PR,5325 Amber Blossom Way,725
Caguas,Puerto Rico,Mary,10972,Smith,Consumer,PR,7422 Dewy Inlet,725
Caguas,Puerto Rico,Mary,10996,Smith,Consumer,PR,7236 Hidden Parkway,725
Caguas,Puerto Rico,Mary,10306,Smith,Consumer,PR,3440 Grand Road,725
Caguas,Puerto Rico,Mary,10670,Smith,Consumer,PR,6315 Gentle Creek Ledge,725
Caguas,Puerto Rico,Mary,6018,Smith,Consumer,PR,8547 Misty Carrefour,725
Caguas,Puerto Rico,Mary,6258,Smith,Consumer,PR,611 Colonial Lake Mall,725
Caguas,Puerto Rico,Mary,12215,Smith,Consumer,PR,3481 Burning Manor,725
Caguas,Puerto Rico,Mary,316,Smith,Consumer,PR,5012 Rustic Fawn Circuit,725
Caguas,Puerto Rico,Mary,2609,Smith,Consumer,PR,1974 Stony Wharf,725
Caguas,Puerto Rico,Mary,11418,Smith,Consumer,PR,4569 Indian Walk,725
Caguas,Puerto Rico,Mary,7500,Smith,Consumer,PR,1112 Sunny Pond Wood,725
Caguas,Puerto Rico,Mary,3774,Smith,Consumer,PR,1454 Red Lane,725
Caguas,Puerto Rico,Mary,6020,Smith,Consumer,PR,6281 Wishing Sky Byway,725
Caguas,Puerto Rico,Mary,4108,Smith,Consumer,PR,858 Red Wynd,725
Caguas,Puerto Rico,Mary,11627,Smith,Consumer,PR,4079 Emerald Canyon,725
Caguas,Puerto Rico,Mary,2496,Smith,Consumer,PR,7962 Wishing Fox Harbour,725
Caguas,Puerto Rico,Mary,335,Smith,Consumer,PR,1082 Rustic Rabbit Street,725
Caguas,Puerto Rico,Mary,3530,Smith,Consumer,PR,681 High Pike,725
Caguas,Puerto Rico,Mary,8805,Smith,Consumer,PR,6499 Indian Run,725
